"상품군별","운영형태별",2019. 01,2019. 02,2019. 03,2019. 04,2019. 05,2019. 06,2019. 07,2019. 08,2019. 09,2019. 10,2019. 11,2019. 12,2020. 01,2020. 02,2020. 03,2020. 04,2020. 05,2020. 06,2020. 07,2020. 08,2020. 09,2020. 10,2020. 11,2020. 12,2021. 01,2021. 02,2021. 03,2021. 04,2021. 05 p),2021. 06 p)
"패션용품 및 액세서리","계",191270,185262,211277,213521,233789,215417,231955,212401,212056,206328,216318,242365,201146,184087,185300,170263,194764,193127,208392,188105,165557,168864,183729,211136,177952,168473,200097,201885,215495,204096
"패션용품 및 액세서리","Online몰",101938,91242,109711,114434,128387,117280,125046,111465,105251,105396,119481,131017,103519,107320,116596,104103,121342,126318,138627,122798,103273,105647,121572,135638,109374,103855,129292,129913,137911,131599
"패션용품 및 액세서리","On/Offline몰",89333,94021,101566,99087,105401,98137,106909,100935,106805,100932,96837,111347,97627,76767,68704,66160,73422,66808,69765,65307,62284,63217,62157,75499,68578,64618,70805,71972,77584,72497
"스포츠·레저용품","계",275432,251940,331660,361085,408724,363405,391095,337705,343934,406650,417226,361262,287829,297815,369415,439164,495367,494845,511964,420777,457988,563076,550189,481186,393222,365943,510082,567862,553661,537572
"스포츠·레저용품","Online몰",227521,207825,278549,304534,345851,309877,333491,288971,291881,337514,351934,299461,239937,253334,315565,379968,420986,421377,441049,361136,399773,476102,448633,396594,322200,297366,409712,458581,463821,457511
"스포츠·레저용품","On/Offline몰",47911,44115,53111,56550,62873,53528,57604,48734,52053,69136,65292,61801,47892,44481,53849,59196,74382,73468,70915,59641,58214,86974,101556,84591,71022,68577,100369,109281,89840,80061
"화장품","계",901348,863072,1025719,963721,990437,944962,986542,1039664,1102640,1158245,1210348,1193049,1123578,1048597,980911,960350,933034,982997,1004536,1081864,1074212,1031873,1134450,1074652,1080616,926777,1070524,1035684,1157318,1038592
"화장품","Online몰",314505,276135,301852,304602,311325,280349,287649,296953,297947,334186,373471,341723,356847,374670,386797,364472,365924,343529,352786,341683,362866,371261,403132,413769,409918,400469,437062,438373,458113,433246
"화장품","On/Offline몰",586843,586937,723868,659118,679112,664613,698893,742711,804693,824058,836877,851325,766732,673927,594114,595877,567110,639468,651751,740181,711346,660612,731318,660884,670698,526308,633462,597311,699205,605346
"아동·유아용품","계",313678,286419,337553,354227,347942,303935,318267,308960,325269,349396,361415,442747,340776,395489,417960,411887,414630,379612,384059,377351,394561,396121,409473,533733,411893,382246,461881,474187,471572,432892
"아동·유아용품","Online몰",265334,244030,291518,307973,304823,266832,277946,266940,283123,303042,313651,387071,297391,346554,368493,362011,366830,337057,346581,339773,350714,351634,365233,482689,363648,337024,412819,427351,429145,393533
"아동·유아용품","On/Offline몰",48344,42389,46035,46254,43119,37103,40321,42021,42146,46354,47764,55676,43385,48936,49467,49876,47800,42555,37478,37579,43847,44488,44240,51045,48245,45222,49062,46836,42427,39359
"음·식료품","계",1193353,867434,1027271,1058853,1111609,1040151,1092958,1215522,1233759,1190483,1198157,1217181,1417289,1482929,1640869,1523528,1479481,1444421,1590820,1641205,2032830,1649211,1763205,2013597,2165480,1894415,1988637,1975666,2041942,1959458
"음·식료품","Online몰",798129,581090,693083,715363,758342,700731,724256,811760,840596,793692,831660,833908,970097,1015689,1157066,1070107,1057776,1021565,1124400,1150862,1468799,1185278,1286381,1473925,1578204,1409664,1487579,1481214,1509044,1452143
"음·식료품","On/Offline몰",395223,286343,334188,343490,353267,339419,368701,403761,393162,396791,366497,383273,447191,467240,483803,453422,421704,422856,466420,490343,564030,463933,476824,539672,587276,484752,501057,494452,532898,507315
"농축수산물","계",413272,231118,278404,286290,285288,269840,282677,321530,374542,313056,325846,341186,489675,463071,527136,479364,433631,434082,480415,509825,733033,494660,517277,650936,749956,673643,615609,602889,618623,586679
"농축수산물","Online몰",250610,145053,169703,179474,179145,169311,175821,194801,231765,205422,218543,227521,308127,272256,335945,309941,290102,288555,331315,340400,470119,336139,349141,441816,482673,459474,426378,422298,438138,416903
"농축수산물","On/Offline몰",162662,86066,108701,106816,106143,100529,106857,126729,142777,107633,107303,113665,181548,190815,191191,169423,143529,145527,149100,169425,262914,158522,168137,209120,267283,214169,189231,180591,180485,169776
"생활용품","계",831769,735651,869192,821882,862291,812251,845351,874832,859634,907585,932759,927285,970074,1157257,1265442,1108836,1179159,1195846,1227598,1283724,1252806,1203768,1250633,1410050,1308069,1181005,1343553,1286125,1334796,1338000
"생활용품","Online몰",641231,579050,692268,660854,700565,650131,669759,689908,674839,720850,755522,745968,774270,959400,1051973,917939,981870,989819,1007867,1044379,1002111,970052,1022420,1157810,1075185,975965,1135510,1091612,1129224,1135449
"생활용품","On/Offline몰",190538,156601,176924,161029,161726,162120,175592,184924,184795,186735,177237,181317,195804,197857,213469,190897,197289,206026,219731,239345,250695,233717,228213,252239,232884,205039,208044,194513,205572,202552
"자동차 및 자동차용품","계",96468,79857,106893,97417,106336,98707,97304,112212,169793,106702,159418,115796,114215,161620,212138,133993,143859,261466,158878,203186,218132,153457,217731,205792,155503,155470,350815,183025,403184,520276
